web_scraper_order,web_scraper_start_url,rooms_area_price_raw_1,rooms_area_price_raw_2,rooms_area_price_raw_3,rooms_area_price_raw_4,rooms_area_price_raw_5,price_raw_1,price_raw_2,price_raw_3,price_raw_4,price_raw_5,address_raw_1,address_raw_2,address_raw_3,address_raw_4,address_raw_5,description_raw_1,description_raw_2,description_raw_3,description_raw_4,description_raw_5,text_raw_1,text_raw_2,text_raw_3,text_raw_4,text_raw_5
"1789666057-11","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer","116m²","CHF 2'690.–","","","CHF 2'690.–","","","","","Hobelwerkweg 13, 8404 Winterthur","","","","","Ihr Wohlfühl-Zuhause mit Charme, Licht und perfekter Lage","","","","","Die LageUrban und gleichzeitig kinderfreundlich präsentiert sich der Stadtteil Oberwinterthur. Im alten Dorfkern und rund um den Bahnhof bietet das grösste Quartier der Stadt ideale Geschäfts- und Einkaufsmöglichkeiten. Schulen und Kindergärten liegen in unmittelbarer Nähe der Wohnüberbauung.Naherholungsgebiete mit Seen und Wäldern zum Wandern, Joggen und Velofahren liegen nur wenige Gehminuten entfernt.Im Takt ist in mehrfacher Hinsicht optimal gelegen. Die Winterthurer Stadtbusse und direkte S-Bahn-Züge nach Zürich halten praktisch vor der Haustüre. Der Flughafen Zürich ist ebenso schnell erreichbar wie die malerische Landschaft des Zürcher Oberlands und der Ostschweiz.Ein Rundgang durch die WohnungDer durchdachte Grundriss lässt Ihnen Freiheiten sich auf 116m2 individuell einzurichten. Der wunderschöne dunkle Akazienholzparkettboden in allen Wohnräumen sorgt für eine behaglich &amp; warme Wohnatmosphäre. Ein Highlight sind die Raumhohen Fenster die für viel Licht sorgen. Weiter bietet Ihnen diese Wohnung folgende Vorzüge:- Offene und moderne Küche- Badezimmer mit Badewanne und WC- Separates WC mit Dusche- Raumhohe Fenster für viel Tageslicht- Helle, lichtdurchflutete Zimmer mit direktem Zugang zur Terrasse- Wohnbereich mit direktem Zugang zur Terrasse- Eigenes Kellerabteil für zusätzlichen Stauraum- Lift mit direktem Zugang zur TiefgarageDetailsIn der Überbauung befindet sich ein origineller Spielplatz.Anschreiben. Besichtigen. Mieten.Möchten Sie Ihrer Familie mehr Raum gönnen und in einem Trendquartier leben?Wir freuen uns auf Ihre Bewerbung!Als Mieter profitieren Sie von 40% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.Weitere interessante Mietobjekte finden Sie unter:www.helvetia.ch/immobilien","","","",""
"1789666057-12","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4.5 Zimmer","122m²","CHF 2'985.–","","","CHF 2'985.–","","","","","Hobelwerkweg 13, 8404 Winterthur","","","","","Suchen Sie mehr Platz für Ihre Familie?","","","","","Die LageAm Hobelwerkweg 13-33 im Stadtteil Oberwinterthur, in unmittelbarer Nachbarschaft zum Bahnhof bieten wir Im Takt grosszügige Gestaltungs- und Wohnräume für unterschiedlichste Ansprüche an.Im Takt ist in mehrfacher Hinsicht optimal gelegen. Die Winterthurer Stadtbusse und direkte S-Bahn-Züge nach Zürich halten praktisch vor der Haustüre. Der Flughafen Zürich ist ebenso schnell erreichbar wie die malerische Landschaft des Zürcher Oberlands und der Ostschweiz.Naherholungsgebiete mit Seen und Wäldern zum Wandern, Joggen und Velofahren liegen nur wenige Gehminuten entfernt.Urban und gleichzeitig kinderfreundlich präsentiert sich der Stadtteil Oberwinterthur. Im alten Dorfkern und rund um den Bahnhof bietet das grösste Quartier der Stadt ideale Geschäfts- und Einkaufsmöglichkeiten. Schulen und Kindergärten liegen in unmittelbarer Nähe der WohnüberbauungEin Rundgang durch die WohnungDer grosszügige Grundriss erstreckt sich über 146 m2 und bietet viel Raum, individuelle Wohnideen zu verwirklichen. Die drei weitläufigen Schlafzimmer befinden sich in einem eigenen Bereich der Wohnung und ermöglichen ruhige Rückzugsorte für alle.Besonders beeindruckend ist der helle Wohn- und Essbereich mit direktem Zugang zum Sitzplatz - ein idealer Ort zum Entspannen und Geniessen. Dank raumhoher Fenster gelangt viel Tageslicht in die Wohnung.Der edle, dunkle Akazienholzparkett verleiht allen Wohn- und Schlafräumen eine warme und elegante Atmosphäre.Die Highlights im Überblick:- Grosszügiger Wohn- und Essbereich mit direktem Zugang zum Balkon- Moderne, halboffene Küche- Badezimmer mit Badewanne und Plattenboden- Zusätzlich separates Dusche/WC- Hochwertige Parkettböden- Lift bis in die TiefgarageDetailsEin Einstellplatz in der Tiefgarage kann auf Wunsch dazu gemietet werden. In der Überbauung befindet sich ein origineller Spielplatz.Anschreiben. Besichtigen. Mieten.Wann möchten Sie Ihre zukünftige Aussicht besichtigen? Wir freuen uns auf Ihre Kontaktaufnahme!https://flatfox.ch/de/viewing/101149/?code=lgXCBpTQ9JJ9yPqTiztkVnMZLdz6uKTUz9NWXK6CUjAAls Mieter von Helvetia profitieren Sie von 40% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/mieteBei den publizierten Bildern handelt es sich um typenähnliche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.","","","",""
"1789666057-13","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer","92m²","CHF 2'315.–","","","CHF 2'315.–","","","","","Pionierstr. 24, 8400 Winterthur","","","","","MIETEN OHNE KAUTION - Erleben Sie die Verbindung von Kultur und Natur","","","","","Die zeitgemässe Wohnung befindet sich in einer gepflegten Überbauung an urbaner Zentrumslage. Geniessen Sie Ihren Feierabend auf der grosszügigen Loggia, die bei jedem Wetter einlädt zu entspannen. Für Ihre Wohnqualität: - Parkettböden in Wohn- und Schlafzimmer- Offene Küche mit Geschirrspüler und Glaskeramikherd- Nasszelle mit Badewanne und WC- Separates WC- Eigener Waschturm- Eigenes Kellerabteil für mehr StauraumBei diesem Mietobjekt müssen Sie nicht wie üblich drei Monatsmieten als Kaution auf ein Sperrkonto einzahlen. So bleiben Sie liquid, da nicht eine grössere Geldsumme für die Dauer Ihres Mietverhältnisses blockiert ist. Und das Beste: Das Angebot ""Mieten ohne Kaution"" ist für Sie gratis. Erfahren Sie mehr auf https://regimo.ch/kaution oder auf dem Flyer in der Fotoserie des Inserates.Zusätzlich auf Wunsch: Einstellplatz Tiefgarage CHF 170.-/Monat. Interessiert? Dann lohnt sich eine Besichtigung.","","","",""
"1789666057-14","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","1 Zimmer","30m²","CHF 1'230.–","","","CHF 1'230.–","","","","","Wülflingerstr. 24, 8400 Winterthur","","","","","MIETEN OHNE KAUTION - Die ideale Studentenwohnung an zentraler Lage","","","","","Sind sie auf der Suche nach der perfekten Studentenwohnung? Diese kleine, gepflegte Wohnung befindet sich direkt gegenüber der Berufs- und Fachschule Winterthur. Einkaufsmöglichkeiten und die Anschlüsse an den öffentlichen Verkehr finden Sie ebenfalls direkt vor der Haustür.Für Ihren Wohnkomfort:- Parkett im Wohn-/Schlafbereich- Zeitgemässe Küche mit Glaskeramikherd und Granitabdeckung- WC/Dusche- Sonniger Balkon- Kellerabteil für zusätzlichen StauraumBei diesem Mietobjekt müssen Sie nicht wie üblich drei Monatsmieten als Kaution auf ein Sperrkonto einzahlen. So bleiben Sie liquid, da nicht eine grössere Geldsumme für die Dauer Ihres Mietverhältnisses blockiert ist. Und das Beste: Das Angebot ""Mieten ohne Kaution"" ist für Sie gratis. Erfahren Sie mehr auf https://regimo.ch/kaution oder auf dem Flyer in der Fotoserie des Inserates.Interessiert? Dann lohnt sich eine Besichtigung.","","","",""
"1789666057-15","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer","60m²","CHF 1'890.–","","","CHF 1'890.–","","","","","Giesserstrasse 13, 8406 Winterthur","","","","","moderne 3.5-Zimmer-Wohnung an zentraler Lage","","","","","Besichtigung: Für einen Besichtigungstermin bitten wir Sie das Kontaktformular auszufüllen.Per 15. Dezember 2026 vermieten wir eine im 2024 total sanierte 3.5-Zimmer-Wohnung (Hochparterre) im beliebten Stadtquartier Tössfeld.Kindergarten, Schulhäuser, Einkaufsmöglichkeiten, Post und Bank sind in wenigen Minuten bequem erreichbar. Mit dem Velo, dem Bus oder dem Auto gelangt man in wenigen Minuten zum Hauptbahnhof und in die wunderschöne Altstadt von Winterthur.Haustiere sind nicht erlaubt.Details/Raumprogramm: • Wohn- und Zimmerbereich Anhydrit-Kunststeinboden • Entrée mit Einbauschrank • Dusche mit Glaswand • offene Küche • hochwertige Holz-Metallfenster mit dreifach Isolierverglasung • Balkon • eigener Kellerraum • Waschmaschine/Tumbler im Keller Ebenfalls kann ein Aussenparkplatz für 80 Franken monatlich dazu gemietet werden.Wir freuen uns über Ihre Kontaktaufnahme.","","","",""
"1789666057-16","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2 Zimmer","CHF 1'730.–","","","","CHF 1'730.–","","","","","Oberfeldstrasse 102, 8408 Winterthur","","","","","2.0 Zimmerwohnung in Winterthur","","","","","Helle 2-Zimmer-Wohnung mit Balkon in WinterthurAn der Oberfeldstrasse 102 in Winterthur vermieten wir per Vereinbarung diese helle und gut geschnittene 2-Zimmer-Wohnung im 2. Obergeschoss links. Die Liegenschaft befindet sich in einem angenehmen Wohnquartier; Einkaufsmöglichkeiten, öffentliche Verkehrsmittel und weitere Angebote des täglichen Bedarfs sind gut erreichbar.Die Wohnung überzeugt unter anderem mit folgenden Vorzügen: • Heller und grosszügiger Wohn-/Essbereich • Offene Küche mit Glaskeramikherd • Geschirrspüler • Praktischer Stauraum dank Einbauschrank • Parkettboden im Wohnbereich • Badezimmer mit Badewanne • Balkon mit Blick ins grüne Wohnquartier • Gute natürliche Belichtung durch mehrere Fenster • Bezug per Vereinbarung Haben wir Ihr Interesse geweckt? Dann nehmen Sie mit uns für einen Besichtigungstermin über das Kontaktformular Kontakt auf. Danach erhalten Sie eine automatische Antwort, in der Sie sich für einen Besichtigungstermin anmelden können. Bitte beachten Sie ebenfalls Ihren Spam-Ordner im E-Mail, falls die automatische Antwort gefiltert wird.","","","",""
"1789666057-17","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer","CHF 3'720.–","","","","CHF 3'720.–","","","","","Schaffhauserstrasse 31, 8400 Winterthur","","","","","Charmante frisch sanierte Wohnung im Herzen der Stadt Winterthur","","","","","Wir vermieten nach Vereinbarung diese attraktive, neue 3.0-Dachzimmerwohnung mit grosszügiger Terrasse sowie Reduit mit Fenster im 4. OG an bestens erschlossener Lage in Winterthur.Die Wohnung überzeugt durch eine moderne, klare Gestaltung sowie den Einsatz hochwertiger Materialien, die ein stilvolles und angenehmes Wohnambiente schaffen: • edler Boden in allen Wohnräumen • helle, weiss gehaltene Wände und Decken für ein offenes, freundliches Raumgefühl • grosszügige Fensterflächen mit hochwertigen Holz-Metallfenstern • durchdachte Grundrisse für optimalen Wohnkomfort • überdurschnittlicher Stauraum in jedem Zimmer Küche: • elegante Arbeitsflächen in moderner Steinoptik • schwarze, grifflose Fronten mit zeitlosem Design • Induktionskochfeld • integrierte Geräte mit klarer Linienführung Badezimmer: • grossformatige Platten in warmen Naturtönen • hochwertige Sanitärausstattung • modernes, zeitloses Erscheinungsbild Die Liegenschaft wurde umfassend saniert und bietet zusätzlichen Komfort durch: • neue Fassadendämmung für ein angenehmes Raumklima • erneuertes Dach mit langlebigen Tonziegeln • Photovoltaikanlage für nachhaltige Energiegewinnung • hochwertige Details wie Kupferelemente im Aussenbereich • Das Reduit verfügt über 31 Quadratmeter und Fenster Die Lage überzeugt durch eine ausgezeichnete Anbindung:Mit den Buslinien 2, 3 und 676 erreichen Sie den Hauptbahnhof Winterthur im 8-Minuten-Takt in rund 10 Minuten.Diese Wohnung bietet ein Zuhause zum Wohlfühlen. Die Kombination aus hochwertiger Sanierung, modernem Design und urbaner Lage macht dieses Angebot besonders attraktiv.Parkmöglichkeiten können bei Bedarf zusätzlich dazu gemietet werden.Bitte beachten Sie, dass es sich bei den Bildern um Referenzbilder handelt, die vom tatsächlichen Objekt abweichen können. Alle Angaben sind Circaangaben. Änderungen bleiben vorbehalten.Für einen Besichtigungstermin bitten wir Sie, das Kontaktformular auszufüllen.","","","",""
"1789666057-18","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","1 Zimmer","25m²","CHF 1'545.–","","","CHF 1'545.–","","","","","Wülflingerstrasse 114, 8408 Winterthur","","","","","moderne, möblierte 1 Zimmer-Wohnung in Winterthur","","","","","Per 16. September 2026 oder nach Vereinbarung vermieten wir diese möblierte und spezielle 1-Zimmer-Wohnung. Das Raumkonzept der möblierten Wohnung ist modern, minimalisiert und durchdacht. Jeder cm³ der Wohnung wird genutzt. Sie ist farblich im skandinavischen Stil gehalten. In der Wohnung befindet sich ein Wohnzimmer, die Küchenzeile und die Nasszelle, sowie ein Bett (1.40 x 2.00 m).Die Nasszelle verfügt über eine Dusche. In der kompakten Küche gibts zudem einen Glaskeramikherd, eine Dunstabzugshaube und einen Geschirrspüler.Pro Wohnung gibts ein geräumiges Kellerabteil, sowie ein gedeckter Fahrradabstellplatz im Freien.Zur Mitbenützung befindet sich im UG die Wasch-Bar mit Tisch und Stühlen, einer Sitzecke, sowie den beiden Waschmaschinen und dem Tumbler. Die Wohnung kann per 16.09.2026 oder per sofort bezogen werden.Es ist eine Nichtrauer-Wohnung, in welcher Haustiere nicht erlaubt sind.Bei Interesse freuen wir uns auf Ihre Kontaktaufnahme.","","","",""
"1789666057-19","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2.5 Zimmer","70m²","CHF 2'190.–","","","CHF 2'190.–","","","","","Schlosshofstrasse 21, 8400 Winterthur","","","","","Werk 3 - rundum attrakiv leben im 5.OG","","","","","Herzlich Willkommen im Werk 3. Das gut erschlossene Sulzer-Areal liegt im Brühlberg-Quartier, nahe dem Einkaufszentrum ""Lokwerk"". Das Stadtzentrum ist zu Fuss und per Buss schnell erreichbar, und die Nähe zur Autobahneinfahrt ""Töss"" bringt motorisierten Bewohnerneine zeitsparende Verkehrsanbindung nach Zürich und zum Flughafen. Das Werk 3 bietet viel Raum für individuelles Wohnen. Mit anderen Worten: Hier finden Sie die nötige Ruhe, für die Erfüllung urbaner und doch ungestörter Wohnträume.Die Wohnung ist mit allem ausgestattet, was von einer zeitgemässen Einrichtung erwartet werden darf. - Hochwertiger Ausbaustandard- Moderne, halboffene Küche mit schwarzer Natursteinabdeckung- Energieeffiziente Electrolux-Einbaugeräte- Eichenparkett im Wohn- und Schlafzimmer- Badezimmer mit keramischen Platten, Badewanne, Lavabo, Spiegelschrank- Kontrollierte Wohnraumlüftung- Eigene Waschmaschine / Tumbler- Loggia- Keller Bitte beachten Sie, dass die Fotoaufnahmen typenähnlich sind und lediglich dem Standard entsprechen. Haben wir Ihr Interesse geweckt und Sie möchten sich diese schöne Wohnung anschauen? Dann zögern Sie nicht und setzen sich mit uns in Verbindung. Wir freuen uns auf Ihre Anfrage via dem Kontaktformular der Plattform.","","","",""
"1789666057-20","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2.5 Zimmer","67m²","CHF 2'090.–","","","CHF 2'090.–","","","","","Schlosshofstrasse 21, 8400 Winterthur","","","","","Werk 3 - rundum attrakiv leben im 2.OG","","","","","Herzlich Willkommen im Werk 3. Das gut erschlossene Sulzer-Areal liegt im Brühlberg-Quartier, nahe dem Einkaufszentrum ""Lokwerk"". Das Stadtzentrum ist zu Fuss und per Buss schnell erreichbar, und die Nähe zur Autobahneinfahrt ""Töss"" bringt motorisierten Bewohnerneine zeitsparende Verkehrsanbindung nach Zürich und zum Flughafen. Das Werk 3 bietet viel Raum für individuelles Wohnen. Mit anderen Worten: Hier finden Sie die nötige Ruhe, für die Erfüllung urbaner und doch ungestörter Wohnträume.Die Wohnung ist mit allem ausgestattet, was von einer zeitgemässen Einrichtung erwartet werden darf. - Hochwertiger Ausbaustandard- Moderne, halboffene Küche mit schwarzer Natursteinabdeckung- Energieeffiziente Electrolux-Einbaugeräte- Eichenparkett im Wohn- und Schlafzimmer- Badezimmer mit keramischen Platten, Badewanne, Lavabo, Spiegelschrank- Kontrollierte Wohnraumlüftung- Eigene Waschmaschine / Tumbler- Loggia- Keller Bitte beachten Sie, dass die Fotoaufnahmen typenähnlich sind und lediglich dem Standard entsprechen. Haben wir Ihr Interesse geweckt und Sie möchten sich diese schöne Wohnung anschauen? Dann zögern Sie nicht und setzen sich mit uns in Verbindung. Wir freuen uns auf Ihre Anfrage via dem Kontaktformular der Plattform.","","","",""
